,Date,PitcherID,Pitcher,G,GS,IP,H,K,BB,R,HR
0,3/20/2024,518489,Ryan Brasier,1,0,1,0,1,0,0,0
1,3/20/2024,666745,Jhony Brito,1,0,0.1,1,0,1,2,0
2,3/20/2024,676680,Tom Cosgrove,1,0,0.2,1,0,0,0,0
3,3/20/2024,506433,Yu Darvish,1,1,3.2,2,3,3,0,0
4,3/20/2024,660853,Enyel De Los Santos,1,0,1,0,1,0,0,0
5,3/20/2024,669093,Jeremiah Estrada,1,0,1,1,1,2,0,0
6,3/20/2024,607192,Tyler Glasnow,1,1,5,2,3,4,2,0
7,3/20/2024,543339,Daniel Hudson,1,0,1,1,1,0,0,0
8,3/20/2024,523260,Joe Kelly,1,0,1,1,0,0,0,0
9,3/20/2024,673513,Yuki Matsui,1,0,0.2,0,1,1,0,0
10,3/20/2024,670970,Adri\xc3\xa1n Morej\xc3\xb3n,1,0,0.2,2,0,0,0,0
11,3/20/2024,593974,Wandy Peralta,1,0,1,0,1,2,1,0
12,3/20/2024,623465,Evan Phillips,1,0,1,0,1,0,0,0
13,3/21/2024,676680,Tom Cosgrove,1,0,0.1,2,0,0,1,0
14,3/21/2024,656420,J.P. Feyereisen,1,0,1,3,1,1,3,1
15,3/21/2024,675627,Michael Grove,1,0,2,6,2,0,4,0
16,3/21/2024,669165,Kyle Hurt,1,0,2,3,0,1,1,0
17,3/21/2024,650633,Michael King,1,0,3.1,4,5,3,3,1
18,3/21/2024,663568,Stephen Kolek,1,0,0.2,0,0,1,2,0
19,3/21/2024,673513,Yuki Matsui,1,0,0.2,2,0,0,0,0
20,3/21/2024,605397,Joe Musgrove,1,1,2.2,7,2,2,5,0
21,3/21/2024,663158,Robert Suarez,1,0,1.1,1,2,0,0,0
22,3/21/2024,681402,Gus Varland,1,0,0.1,0,0,0,0,0
23,3/21/2024,681911,Alex Vesia,1,0,1,1,2,1,1,0
24,3/21/2024,808967,Yoshinobu Yamamoto,1,1,1,4,2,1,5,0
25,3/21/2024,642232,Ryan Yarbrough,1,0,1.2,1,1,2,0,0
26,3/28/2024,669211,Keegan Akin,1,0,1,0,2,0,0,0
27,3/28/2024,622075,Yency Almonte,1,0,0.1,2,0,0,1,1
28,3/28/2024,640470,Adbert Alzolay,1,0,1,1,0,1,1,1
29,3/28/2024,623433,Nick Anderson,1,0,1,1,0,0,0,0
30,3/28/2024,542888,Shawn Armstrong,1,0,1.1,1,2,2,2,0
31,3/28/2024,598264,Matt Barnes,1,0,1,0,0,0,0,0
32,3/28/2024,657508,Mike Baumann,1,0,1,0,0,1,0,0
33,3/28/2024,656222,Jalen Beeks,1,0,2.1,0,2,0,0,0
34,3/28/2024,678394,Brayan Bello,1,1,5,5,2,0,2,1
35,3/28/2024,669622,Anthony Bender,1,0,1,1,1,1,0,0
36,3/28/2024,621244,Jos\xc3\xa9 Berr\xc3\xados,1,1,6,6,6,1,2,1
37,3/28/2024,669456,Shane Bieber,1,1,6,4,11,1,0,0
38,3/28/2024,675989,Cody Bolton,1,0,2,1,0,0,1,1
39,3/28/2024,621366,Ryan Borucki,1,0,1.1,0,2,0,0,0
40,3/28/2024,666745,Jhony Brito,1,0,0.1,3,0,0,2,0
41,3/28/2024,669203,Corbin Burnes,1,1,6,1,11,0,1,1
42,3/28/2024,663462,Isaiah Campbell,1,0,1,1,1,0,1,0
43,3/28/2024,622491,Luis Castillo,1,1,5,6,5,2,4,1
44,3/28/2024,612434,Miguel Castro,1,0,1,0,1,0,0,0
45,3/28/2024,605177,Andrew Chafin,1,0,1.1,0,2,0,0,0
46,3/28/2024,547973,Aroldis Chapman,1,0,1,0,1,0,0,0
47,3/28/2024,643256,Adam Cimber,1,0,1,0,0,0,0,0
48,3/28/2024,542585,Jos\xc3\xa9 Cisnero,1,0,0.2,2,0,2,3,1
49,3/28/2024,664076,Garrett Cleavinger,1,0,1,0,0,3,0,0
50,3/28/2024,641482,Nestor Cortes,1,1,5,5,5,2,4,1
51,3/28/2024,676680,Tom Cosgrove,1,0,1,0,2,0,0,0
52,3/28/2024,676979,Garrett Crochet,1,1,6,5,8,0,1,0
53,3/28/2024,686539,Declan Cronin,1,0,3,1,3,2,0,0
54,3/28/2024,506433,Yu Darvish,1,1,5,5,7,1,1,0
55,3/28/2024,621107,Zach Eflin,1,1,5.2,6,5,1,6,3
