,Unnamed: 0,Date,PitcherID,Pitcher,G,GS,IP,H,K,BB,R,HR,Outs,GS2
3,3,3/20/2024,506433,Yu Darvish,1,1,3.2,2,3,3,0,0,11.0,55.0
6,6,3/20/2024,607192,Tyler Glasnow,1,1,5.0,2,3,4,2,0,15.0,55.0
20,20,3/21/2024,605397,Joe Musgrove,1,1,2.2,7,2,2,5,0,8.0,25.0
24,24,3/21/2024,808967,Yoshinobu Yamamoto,1,1,1.0,4,2,1,5,0,3.0,23.0
34,34,3/28/2024,678394,Brayan Bello,1,1,5.0,5,2,0,2,1,15.0,50.0
36,36,3/28/2024,621244,Jos\xc3\xa9 Berr\xc3\xados,1,1,6.0,6,6,1,2,1,18.0,56.0
37,37,3/28/2024,669456,Shane Bieber,1,1,6.0,4,11,1,0,0,18.0,77.0
41,41,3/28/2024,669203,Corbin Burnes,1,1,6.0,1,11,0,1,1,18.0,76.0
43,43,3/28/2024,622491,Luis Castillo,1,1,5.0,6,5,2,4,1,15.0,41.0
50,50,3/28/2024,641482,Nestor Cortes,1,1,5.0,5,5,2,4,1,15.0,43.0
52,52,3/28/2024,676979,Garrett Crochet,1,1,6.0,5,8,0,1,0,18.0,71.0
54,54,3/28/2024,506433,Yu Darvish,1,1,5.0,5,7,1,1,0,15.0,62.0
55,55,3/28/2024,621107,Zach Eflin,1,1,5.2,6,5,1,6,3,17.0,29.0
56,56,3/28/2024,543135,Nathan Eovaldi,1,1,6.0,4,3,1,2,0,18.0,63.0
60,60,3/28/2024,607536,Kyle Freeland,1,1,2.1,10,2,1,10,1,7.0,-2.0
62,62,3/28/2024,668678,Zac Gallen,1,1,5.0,3,3,2,1,0,15.0,60.0
65,65,3/28/2024,607192,Tyler Glasnow,1,1,6.0,2,5,1,1,1,18.0,66.0
66,66,3/28/2024,680686,Josiah Gray,1,1,4.0,8,6,2,7,2,12.0,17.0
75,75,3/28/2024,656605,Mitch Keller,1,1,5.2,7,3,2,4,0,17.0,47.0
83,83,3/28/2024,641154,Pablo L\xc3\xb3pez,1,1,7.0,4,7,0,1,1,21.0,72.0
84,84,3/28/2024,666200,Jes\xc3\xbas Luzardo,1,1,5.0,2,8,2,2,1,15.0,58.0
94,94,3/28/2024,571945,Miles Mikolas,1,1,4.1,7,5,2,5,2,13.0,26.0
98,98,3/28/2024,593423,Frankie Montas,1,1,6.0,4,4,0,0,0,18.0,72.0
111,111,3/28/2024,666142,Cole Ragans,1,1,6.0,5,9,3,2,1,18.0,57.0
118,118,3/28/2024,663776,Patrick Sandoval,1,1,1.2,6,2,2,3,0,5.0,27.0
123,123,3/28/2024,669373,Tarik Skubal,1,1,6.0,3,6,0,0,0,18.0,76.0
126,126,3/28/2024,657006,Justin Steele,1,1,4.2,3,6,1,1,0,14.0,63.0
134,134,3/28/2024,664285,Framber Valdez,1,1,4.2,5,5,6,3,0,14.0,42.0
138,138,3/28/2024,657277,Logan Webb,1,1,6.0,5,5,2,2,0,18.0,61.0
139,139,3/28/2024,622072,Alex Wood,1,1,3.1,7,3,1,6,0,10.0,29.0
146,146,3/29/2024,671106,Logan Allen,1,1,5.0,6,3,0,3,2,15.0,40.0
150,150,3/29/2024,605135,Chris Bassitt,1,1,5.0,6,6,2,4,1,15.0,42.0
158,158,3/29/2024,650644,Aaron Civale,1,1,6.0,4,6,1,1,1,18.0,63.0
169,169,3/29/2024,690986,Kyle Harrison,1,1,6.0,6,5,0,2,2,18.0,51.0
172,172,3/29/2024,664299,Cristian Javier,1,1,6.0,4,6,1,0,0,18.0,72.0
175,175,3/29/2024,518876,Merrill Kelly,1,1,6.2,3,8,0,1,1,20.0,73.0
177,177,3/29/2024,669923,George Kirby,1,1,6.2,2,8,2,0,0,20.0,80.0
183,183,3/29/2024,676272,Bobby Miller,1,1,6.0,2,11,1,0,0,18.0,81.0
188,188,3/29/2024,605397,Joe Musgrove,1,1,5.2,8,3,1,4,1,17.0,41.0
192,192,3/29/2024,642547,Freddy Peralta,1,1,6.0,1,8,1,1,1,18.0,71.0
193,193,3/29/2024,527048,Mart\xc3\xadn P\xc3\xa9rez,1,1,4.1,6,2,3,1,0,13.0,47.0
195,195,3/29/2024,601713,Nick Pivetta,1,1,6.0,3,10,0,1,1,18.0,71.0
196,196,3/29/2024,640462,A.J. Puk,1,1,2.0,3,1,6,4,0,6.0,23.0
197,197,3/29/2024,615698,Cal Quantrill,1,1,5.0,9,1,1,5,2,15.0,24.0
198,198,3/29/2024,500779,Jose Quintana,1,1,4.2,6,4,2,2,1,14.0,44.0
199,199,3/29/2024,607074,Carlos Rod\xc3\xb3n,1,1,4.1,5,4,3,1,0,13.0,51.0
212,212,3/29/2024,675911,Spencer Strider,1,1,5.0,3,8,2,2,1,15.0,56.0
213,213,3/29/2024,548389,Ross Stripling,1,1,5.0,7,6,2,4,1,15.0,40.0
215,215,3/29/2024,668868,Zack Thompson,1,1,5.1,6,4,2,5,3,16.0,27.0
220,220,3/29/2024,554430,Zack Wheeler,1,1,6.0,5,5,0,0,0,18.0,71.0
231,231,3/30/2024,676440,Tanner Bibee,1,1,4.0,6,4,5,3,0,12.0,37.0
233,233,3/30/2024,674003,Cody Bradford,1,1,5.0,3,6,1,2,1,15.0,56.0
238,238,3/30/2024,686613,Hunter Brown,1,1,4.0,4,5,2,0,0,12.0,57.0
242,242,3/30/2024,656288,Griffin Canning,1,1,5.0,7,2,1,5,1,15.0,35.0
243,243,3/30/2024,656302,Dylan Cease,1,1,4.2,2,6,2,2,0,14.0,60.0
247,247,3/30/2024,571578,Patrick Corbin,1,1,4.1,7,2,1,4,2,13.0,28.0
250,250,3/30/2024,676710,Kutter Crawford,1,1,6.0,3,7,1,0,0,18.0,75.0
